,Building Semtex OFFICE (kWh)
227,0.0401429774919464
228,0.0013470870254508327
229,-0.1443082155852835
230,0.4114386335379052
231,-0.5915149387645187
232,0.5061640056718559
233,-0.34164871432666644
234,0.3068986251138881
235,-0.3277328174142937
236,0.2913799505059629
237,-0.22111894483477812
238,0.1838373245229299
239,-0.282127151745442
240,0.5478180317353676
241,-0.7066118692839751
242,0.5290318996884267
243,-0.2386098128976144
244,0.08898607412857729
245,-0.04410636972184534
246,0.01912101508614228
247,0.00335761384198463
248,-0.020946079863975342
249,0.026594808765054267
250,-0.017959145007857558
251,0.0009744816768773035
252,0.01799437812834981
253,-0.03446858647418338
254,0.03559810725621304
255,-0.01455700015731054
256,-0.012325203886568659
257,0.031825356657080306
258,-0.05605741451949342
259,0.13369984096877374
260,-0.2969252915314584
261,0.47482291553388833
262,-0.5528701488694807
263,0.3666060928318018
264,0.10865565544220601
265,-0.3032742426532664
266,-0.22235700597876473
267,0.7958535382649572
268,-0.7270975049200175
269,0.3825326319538078
270,-0.25650094334004336
271,0.2743967151558451
272,-0.25832114980784837
273,0.20004763321453112
274,-0.13733672379787976
275,0.11883369168214841
276,-0.24221680803816525
277,0.4985934085143455
278,-0.5124660711332538
279,0.02414796829178556
280,0.4582723342222579
281,-0.4316658487492262
282,0.1601866286644693
283,-0.00827483551857
284,-0.02461787280661909
285,0.019125932813388147
286,-0.0008499533237724677
287,-0.015882440351184357
288,0.020477682948026654
289,-0.01209412039705171
290,-0.0026406570159807075
291,0.018106474560518393
292,-0.029440674076710138
293,0.0323715847099777
294,-0.03220684749099689
295,0.03569782762254192
296,-0.023800871909259058
297,0.0002180311576367444
298,-0.1045994390736098
299,0.4167063858984861
300,-0.6313772407028608
301,0.4564336288342119
302,-0.04459581824580994
303,-0.31522068255189595
304,0.23557791998991462
305,0.4240148209707826
306,-0.7055987425628345
307,-0.12691041075577658
308,0.8080231019744843
309,-0.13853233868896808
310,-0.8110760598429749
311,0.8245092601952635
312,-0.3556782321194376
313,0.09657680174106531
314,-0.04111786379132809
315,0.036113406916776114
316,-0.03550277910259325
317,0.023034314459302152
318,0.0014760521223848855
319,-0.02768992726299757
320,0.04668624030762203
321,-0.05654320602564411
322,0.059791831992242805
323,-0.06379882533123293
324,0.09202603374426133
325,-0.2266043368865951
326,0.4972607606255224
327,-0.6608101463043496
328,0.5102880418971196
329,-0.27101583517558225
330,0.26425114077162704
331,-0.49291612733915
332,0.642391137891515
333,-0.48984909844485003
334,0.24087422455159668
335,-0.16132469273654948
336,0.34278710757154585
337,-0.730296168504907
338,0.8244364263890205
339,-0.2512172423381287
340,-0.3857453558229764
341,0.4584834355917664
342,-0.2338486348465949
343,0.1005049322201188
344,-0.05536475500633742
345,0.022705310320084493
346,0.0008083903103965895
347,0.00842532760442083
348,-0.05721707872055504
349,0.08832428520271662
350,-0.0249199165684999
351,-0.20798134469711016
352,0.5599130175468972
353,-0.5095019701039689
354,-0.2552962937873673
355,0.7475024490941493
356,-0.10466982801632696
357,-0.7369240085422568
358,0.7479783257814496
359,-0.3265353096736625
360,0.07643599513396282
361,5.958996923283166e-05
362,-0.02456693765333995
363,0.02523911257644329
364,-0.0045818040868681464
