,0
350,3.386726646000315e-14
351,3.384055908671102e-14
352,3.3813782074989e-14
353,3.3786935479939867e-14
354,3.3760019356809596e-14
355,3.373303376098724e-14
356,3.370597874800482e-14
357,3.367885437353721e-14
358,3.365166069340201e-14
359,3.362439776355944e-14
360,3.3597065640112215e-14
361,3.356966437930547e-14
362,3.354219403752657e-14
363,3.351465467130509e-14
364,3.3487046337312593e-14
365,3.345936909236261e-14
366,3.3431622993410443e-14
367,3.340380809755314e-14
368,3.337592446202923e-14
369,3.33479721442188e-14
370,3.331995120164319e-14
371,3.329186169196502e-14
372,3.326370367298798e-14
373,3.323547720265674e-14
374,3.320718233905684e-14
375,3.3178819140414554e-14
376,3.31503876650968e-14
377,3.312188797161097e-14
378,3.309332011860484e-14
379,3.30646841648665e-14
380,3.30359801693241e-14
381,3.300720819104586e-14
382,3.297836828923989e-14
383,3.294946052325406e-14
384,3.292048495257592e-14
385,3.289144163683252e-14
386,3.2862330635790356e-14
387,3.2833152009355156e-14
388,3.280390581757187e-14
389,3.277459212062445e-14
390,3.274521097883576e-14
391,3.271576245266748e-14
392,3.268624660271995e-14
393,3.265666348973202e-14
394,3.2627013174581e-14
395,3.259729571828246e-14
396,3.2567511181990154e-14
397,3.2537659626995866e-14
398,3.2507741114729293e-14
399,3.247775570675793e-14
400,3.2447703464786925e-14
401,3.241758445065895e-14
402,3.2387398726354113e-14
403,3.235714635398976e-14
404,3.2326827395820435e-14
405,3.229644191423766e-14
406,3.226598997176987e-14
407,3.223547163108227e-14
408,3.2204886954976706e-14
409,3.217423600639152e-14
410,3.214351884840143e-14
411,3.211273554421742e-14
412,3.208188615718657e-14
413,3.205097075079196e-14
414,3.201998938865254e-14
415,3.1988942134522954e-14
416,3.1957829052293466e-14
417,3.19266502059898e-14
418,3.1895405659773e-14
419,3.1864095477939335e-14
420,3.183271972492012e-14
421,3.1801278465281595e-14
422,3.1769771763724834e-14
423,3.173819968508556e-14
424,3.1706562294334024e-14
425,3.167485965657491e-14
426,3.164309183704714e-14
427,3.161125890112376e-14
428,3.157936091431186e-14
429,3.154739794225236e-14
430,3.151537005071992e-14
431,3.1483277305622794e-14
432,3.1451119773002676e-14
433,3.141889751903462e-14
434,3.138661061002682e-14
435,3.135425911242056e-14
436,3.132184309279002e-14
437,3.128936261784215e-14
438,3.125681775441656e-14
439,3.1224208569485325e-14
440,3.119153513015292e-14
441,3.115879750365604e-14
442,3.1125995757363416e-14
443,3.1093129958775815e-14
444,3.1060200175525746e-14
445,3.1027206475377394e-14
446,3.099414892622652e-14
447,3.096102759610022e-14
448,3.092784255315688e-14
449,3.0894593865685975e-14
450,3.086128160210797e-14
451,3.082790583097414e-14
452,3.0794466620966457e-14
453,3.0760964040897436e-14
454,3.072739815971001e-14
455,3.0693769046477346e-14
456,3.066007677040277e-14
457,3.062632140081957e-14
458,3.0592503007190855e-14
459,3.0558621659109455e-14
460,3.052467742629773e-14
461,3.049067037860746e-14
462,3.0456600586019684e-14
463,3.042246811864454e-14
464,3.038827304672118e-14
465,3.0354015440617547e-14
466,3.03196953708303e-14
467,3.0285312907984614e-14
468,3.025086812283408e-14
469,3.021636108626052e-14
470,3.018179186927387e-14
471,3.014716054301202e-14
472,3.0112467178740673e-14
473,3.00777118478532e-14
474,3.0042894621870475e-14
475,3.000801557244075e-14
476,2.9973074771339515e-14
477,2.9938072290469304e-14
478,2.99030082018596e-14
479,2.986788257766668e-14
480,2.9832695490173395e-14
481,2.9797447011789143e-14
482,2.976213721504961e-14
483,2.9726766172616686e-14
484,2.9691333957278295e-14
485,2.965584064194823e-14
486,2.9620286299666034e-14
487,2.958467100359683e-14
488,2.954899482703116e-14
489,2.951325784338487e-14
490,2.947746012619892e-14
491,2.944160174913926e-14
492,2.940568278599666e-14
493,2.936970331068659e-14
494,2.9333663397249e-14
495,2.9297563119848244e-14
496,2.92614025527729e-14
497,2.9225181770435597e-14
498,2.918890084737287e-14
499,2.915255985824505e-14
500,2.9116158877836026e-14
501,2.907969798105317e-14
502,2.904317724292715e-14
503,2.9006596738611773e-14
504,2.8969956543383835e-14
505,2.893325673264297e-14
506,2.889649738191147e-14
507,2.8859678566834196e-14
508,2.882280036317833e-14
509,2.878586284683329e-14
510,2.874886609381056e-14
511,2.871181018024349e-14
512,2.867469518238721e-14
513,2.86375211766184e-14
514,2.8600288239435205e-14
515,2.856299644745701e-14
516,2.852564587742434e-14
517,2.848823660619864e-14
518,2.84507687107622e-14
519,2.841324226821792e-14
520,2.8375657355789178e-14
521,2.8338014050819682e-14
522,2.830031243077331e-14
523,2.8262552573233926e-14
524,2.8224734555905245e-14
525,2.8186858456610677e-14
526,2.8148924353293142e-14
527,2.8110932324014913e-14
528,2.8072882446957487e-14
529,2.80347748004214e-14
530,2.7996609462826052e-14
531,2.7958386512709573e-14
532,2.7920106028728663e-14
533,2.7881768089658372e-14
534,2.7843372774392054e-14
535,2.780492016194106e-14
536,2.7766410331434716e-14
537,2.7727843362120034e-14
538,2.7689219333361652e-14
539,2.7650538324641606e-14
540,2.761180041555919e-14
541,2.7573005685830803e-14
542,2.7534154215289753e-14
543,2.749524608388612e-14
544,2.745628137168659e-14
545,2.7417260158874276e-14
546,2.7378182525748544e-14
547,2.7339048552724902e-14
548,2.7299858320334756e-14
549,2.7260611909225327e-14
550,2.7221309400159392e-14
551,2.7181950874015215e-14
552,2.7142536411786307e-14
553,2.7103066094581295e-14
554,2.706354000362375e-14
555,2.7023958220252005e-14
