,0
217,3.748937744796864e-15
218,3.748514844638667e-15
219,3.748090016020002e-15
220,3.747663259159424e-15
221,3.7472345742764835e-15
222,3.746803961591722e-15
223,3.7463714213266715e-15
224,3.745936953703858e-15
225,3.745500558946797e-15
226,3.745062237279996e-15
227,3.7446219889289534e-15
228,3.744179814120161e-15
229,3.743735713081098e-15
230,3.743289686040236e-15
231,3.742841733227041e-15
232,3.742391854871965e-15
233,3.7419400512064525e-15
234,3.741486322462939e-15
235,3.7410306688748475e-15
236,3.740573090676595e-15
237,3.740113588103589e-15
238,3.739652161392222e-15
239,3.7391888107798814e-15
240,3.738723536504942e-15
241,3.738256338806768e-15
242,3.7377872179257155e-15
243,3.737316174103126e-15
244,3.7368432075813355e-15
245,3.736368318603665e-15
246,3.735891507414425e-15
247,3.735412774258917e-15
248,3.734932119383429e-15
249,3.734449543035239e-15
250,3.7339650454626136e-15
251,3.733478626914806e-15
252,3.732990287642061e-15
253,3.7325000278956084e-15
254,3.732007847927667e-15
255,3.731513747991446e-15
256,3.731017728341135e-15
257,3.730519789231921e-15
258,3.730019930919971e-15
259,3.729518153662443e-15
260,3.729014457717482e-15
261,3.728508843344217e-15
262,3.72800131080277e-15
263,3.727491860354242e-15
264,3.7269804922607274e-15
265,3.726467206785305e-15
266,3.725952004192038e-15
267,3.725434884745977e-15
268,3.724915848713161e-15
269,3.724394896360612e-15
270,3.72387202795634e-15
271,3.723347243769339e-15
272,3.722820544069589e-15
273,3.7222919291280575e-15
274,3.721761399216694e-15
275,3.721228954608437e-15
276,3.720694595577206e-15
277,3.720158322397907e-15
278,3.7196201353464325e-15
279,3.719080034699657e-15
280,3.718538020735441e-15
281,3.717994093732628e-15
282,3.7174482539710485e-15
283,3.716900501731515e-15
284,3.716350837295822e-15
285,3.7157992609467525e-15
286,3.715245772968068e-15
287,3.714690373644517e-15
288,3.71413306326183e-15
289,3.713573842106721e-15
290,3.713012710466887e-15
291,3.712449668631007e-15
292,3.7118847168887435e-15
293,3.711317855530742e-15
294,3.71074908484863e-15
295,3.710178405135016e-15
296,3.7096058166834946e-15
297,3.709031319788636e-15
298,3.708454914745998e-15
299,3.707876601852118e-15
300,3.707296381404514e-15
301,3.706714253701686e-15
302,3.706130219043115e-15
303,3.705544277729265e-15
304,3.7049564300615785e-15
305,3.704366676342479e-15
306,3.7037750168753706e-15
307,3.703181451964641e-15
308,3.702585981915652e-15
309,3.7019886070347526e-15
310,3.701389327629266e-15
311,3.700788144007497e-15
312,3.7001850564787316e-15
313,3.699580065353234e-15
314,3.6989731709422475e-15
315,3.698364373557994e-15
316,3.697753673513679e-15
317,3.697141071123479e-15
318,3.696526566702556e-15
319,3.6959101605670456e-15
320,3.695291853034065e-15
321,3.694671644421709e-15
322,3.694049535049051e-15
323,3.69342552523614e-15
324,3.692799615304003e-15
325,3.692171805574648e-15
326,3.691542096371056e-15
327,3.6909104880171884e-15
328,3.69027698083798e-15
329,3.6896415751593486e-15
330,3.689004271308182e-15
331,3.688365069612348e-15
332,3.687723970400691e-15
333,3.68708097400303e-15
334,3.686436080750162e-15
335,3.685789290973857e-15
336,3.685140605006864e-15
337,3.6844900231829055e-15
338,3.68383754583668e-15
339,3.683183173303858e-15
340,3.682526905921092e-15
341,3.681868744026003e-15
342,3.68120868795719e-15
343,3.680546738054223e-15
344,3.679882894657652e-15
345,3.679217158108996e-15
346,3.6785495287507495e-15
347,3.677880006926382e-15
348,3.6772085929803346e-15
349,3.676535287258025e-15
350,3.675860090105838e-15
351,3.675183001871139e-15
352,3.6745040229022604e-15
353,3.673823153548511e-15
354,3.673140394160171e-15
355,3.672455745088492e-15
356,3.671769206685698e-15
357,3.671080779304987e-15
358,3.670390463300525e-15
359,3.669698259027455e-15
360,3.669004166841886e-15
361,3.6683081871009e-15
362,3.667610320162554e-15
363,3.666910566385868e-15
364,3.66620892613084e-15
365,3.6655053997584365e-15
366,3.6647999876305915e-15
367,3.664092690110213e-15
368,3.663383507561175e-15
369,3.662672440348326e-15
370,3.6619594888374795e-15
371,3.661244653395422e-15
372,3.660527934389906e-15
373,3.659809332189656e-15
374,3.659088847164363e-15
375,3.65836647968469e-15
376,3.657642230122263e-15
377,3.656916098849681e-15
378,3.6561880862405085e-15
379,3.65545819266928e-15
380,3.654726418511495e-15
381,3.653992764143623e-15
382,3.6532572299431e-15
383,3.652519816288328e-15
384,3.651780523558677e-15
385,3.651039352134484e-15
386,3.65029630239705e-15
387,3.649551374728647e-15
